datetime,Open,High,Low,Close,volume,rsi,signal,expiry
2026-01-01 09:15:00,26173.3,26195.35,26163.1,26167.8,51054748,,,2026-01-06
2026-01-01 09:20:00,26166.45,26177.55,26157.05,26161.1,6581048,0.0,,2026-01-06
2026-01-01 09:25:00,26160.35,26189.6,26149.25,26187.2,4422852,23.056537102473058,,2026-01-06
2026-01-01 09:30:00,26184.0,26188.9,26166.1,26180.1,8227516,21.597708465944567,,2026-01-06
2026-01-01 09:35:00,26179.5,26188.95,26162.75,26167.65,4683408,19.292574967633676,,2026-01-06
2026-01-01 09:40:00,26167.95,26187.95,26163.75,26181.55,4179479,28.471609288077484,,2026-01-06
2026-01-01 09:45:00,26178.25,26189.65,26163.25,26188.55,3833895,32.627229340423725,,2026-01-06
2026-01-01 09:50:00,26189.0,26197.55,26184.3,26189.1,5508227,32.95680974610484,,2026-01-06
2026-01-01 09:55:00,26189.8,26192.9,26153.5,26157.2,5944452,25.24352107527923,,2026-01-06
2026-01-01 10:00:00,26157.45,26172.25,26155.35,26171.7,3523804,32.927734181825244,,2026-01-06
2026-01-01 10:05:00,26170.4,26179.1,26164.85,26165.85,2982275,31.520035176577476,,2026-01-06
2026-01-01 10:10:00,26166.15,26166.25,26147.0,26151.15,2882634,28.25161833861604,,2026-01-06
2026-01-01 10:15:00,26151.65,26152.15,26127.95,26132.15,2367359,24.68824078689865,,2026-01-06
2026-01-01 10:20:00,26131.7,26137.2,26117.7,26136.35,4550725,26.88363970683305,,2026-01-06
2026-01-01 10:25:00,26135.95,26159.75,26134.1,26157.35,3286049,36.80335809630548,,2026-01-06
2026-01-01 10:30:00,26158.7,26167.1,26147.6,26166.0,1877512,40.390758640382344,,2026-01-06
2026-01-01 10:35:00,26165.8,26173.5,26159.0,26162.1,5506626,39.30734873302217,,2026-01-06
2026-01-01 10:40:00,26162.25,26163.45,26149.4,26161.35,2431505,39.09019864513839,,2026-01-06
2026-01-01 10:45:00,26161.1,26182.9,26160.95,26182.25,2401745,47.75229794296377,,2026-01-06
2026-01-01 10:50:00,26181.95,26185.6,26177.4,26179.5,3458921,46.80902652474624,,2026-01-06
2026-01-01 10:55:00,26180.0,26180.7,26168.1,26170.95,5010723,43.90516365165345,,2026-01-06
2026-01-01 11:00:00,26171.05,26180.65,26161.4,26164.85,4437899,41.907656802363924,,2026-01-06
2026-01-01 11:05:00,26164.55,26173.1,26161.25,26164.6,5180466,41.823674124972776,,2026-01-06
2026-01-01 11:10:00,26164.1,26174.3,26157.45,26170.5,4852482,44.6431253522412,,2026-01-06
2026-01-01 11:15:00,26169.3,26171.55,26158.5,26170.0,5545513,44.4465364957156,,2026-01-06
2026-01-01 11:20:00,26169.95,26175.05,26163.7,26169.95,4339835,44.42546860743982,,2026-01-06
2026-01-01 11:25:00,26169.0,26177.75,26161.95,26165.8,4142392,42.619723343539775,,2026-01-06
2026-01-01 11:30:00,26165.75,26173.85,26157.35,26160.85,5284895,40.504901289676056,,2026-01-06
2026-01-01 11:35:00,26160.65,26167.95,26156.55,26161.0,5210024,40.60108741765217,,2026-01-06
2026-01-01 11:40:00,26160.55,26164.9,26142.6,26144.85,5271056,34.19168291405957,,2026-01-06
2026-01-01 11:45:00,26144.1,26146.25,26137.3,26139.25,4364433,32.28830325840793,,2026-01-06
2026-01-01 11:50:00,26138.95,26149.95,26133.4,26148.25,4480923,38.23888267649855,,2026-01-06
2026-01-01 11:55:00,26147.85,26154.1,26141.65,26151.3,3554260,40.15818046350234,,2026-01-06
2026-01-01 12:00:00,26151.15,26158.2,26139.35,26141.8,3035211,36.36724753868195,,2026-01-06
2026-01-01 12:05:00,26141.75,26144.5,26124.3,26130.85,4208680,32.55276875545768,,2026-01-06
2026-01-01 12:10:00,26130.0,26136.6,26123.95,26125.0,7351368,30.700127300862093,,2026-01-06
2026-01-01 12:15:00,26124.35,26135.2,26113.4,26135.2,17900622,37.390811175012004,,2026-01-06
2026-01-01 12:20:00,26135.4,26141.3,26128.2,26141.3,18663024,41.0559656027136,,2026-01-06
2026-01-01 12:25:00,26140.65,26155.9,26137.45,26150.6,4954656,46.22459819586063,,2026-01-06
2026-01-01 12:30:00,26150.15,26154.45,26139.05,26154.45,5463487,48.24774566952035,,2026-01-06
2026-01-01 12:35:00,26153.05,26155.35,26127.25,26129.95,11136998,38.35791406204175,,2026-01-06
2026-01-01 12:40:00,26129.55,26142.5,26126.85,26142.3,5004255,44.53030219134141,,2026-01-06
2026-01-01 12:45:00,26141.6,26162.55,26140.5,26156.4,9086687,50.61086974147401,,2026-01-06
2026-01-01 12:50:00,26156.4,26158.25,26147.1,26150.25,4113697,48.13249280649435,,2026-01-06
2026-01-01 12:55:00,26150.35,26158.05,26147.25,26151.6,1969653,48.726051482043886,,2026-01-06
2026-01-01 13:00:00,26152.45,26155.6,26147.55,26151.8,1919918,48.8194959832593,,2026-01-06
2026-01-01 13:05:00,26151.6,26157.0,26150.1,26155.95,2716386,50.82225361149984,,2026-01-06
2026-01-01 13:10:00,26155.8,26158.7,26144.35,26151.45,2089303,48.601391278615715,,2026-01-06
2026-01-01 13:15:00,26150.8,26167.95,26149.9,26165.45,2441571,55.165559192343544,,2026-01-06
2026-01-01 13:20:00,26164.95,26166.2,26129.7,26130.55,3695030,41.08080339972019,PUT_SUPPORT,2026-01-06
2026-01-01 13:25:00,26130.5,26157.35,26130.35,26154.45,3155493,50.417022895098846,,2026-01-06
2026-01-01 13:30:00,26155.35,26161.35,26145.2,26146.6,4149868,47.741161248538454,,2026-01-06
2026-01-01 13:35:00,26146.85,26154.65,26141.1,26146.05,2629968,47.55073735991655,,2026-01-06
2026-01-01 13:40:00,26146.35,26148.3,26137.95,26146.8,1812808,47.85616943327884,,2026-01-06
2026-01-01 13:45:00,26146.1,26149.55,26139.25,26146.85,1864284,47.87796108120928,,2026-01-06
2026-01-01 13:50:00,26146.3,26161.9,26145.85,26158.4,2907013,52.78647709525014,,2026-01-06
2026-01-01 13:55:00,26159.15,26163.2,26153.95,26157.4,2019717,52.327006832822214,,2026-01-06
2026-01-01 14:00:00,26157.1,26172.05,26153.2,26168.0,7052129,56.635808752239754,,2026-01-06
2026-01-01 14:05:00,26169.05,26176.2,26162.6,26163.05,10512902,54.173432140403285,,2026-01-06
2026-01-01 14:10:00,26162.6,26170.15,26160.8,26168.0,4790880,56.223143135313705,,2026-01-06
2026-01-01 14:15:00,26166.85,26175.1,26161.6,26171.2,3788516,57.54514516336692,,2026-01-06
2026-01-01 14:20:00,26171.05,26178.0,26154.7,26160.95,4692528,52.11616147934338,,2026-01-06
2026-01-01 14:25:00,26160.55,26162.6,26151.9,26152.4,3549084,48.04442399432363,,2026-01-06
2026-01-01 14:30:00,26152.15,26164.3,26149.3,26162.5,3543906,52.741496425633265,,2026-01-06
2026-01-01 14:35:00,26162.55,26166.25,26159.3,26164.3,4829184,53.54750553150695,,2026-01-06
2026-01-01 14:40:00,26164.65,26166.35,26157.9,26159.65,3915315,51.12183640870203,,2026-01-06
2026-01-01 14:45:00,26160.35,26163.85,26152.7,26154.4,5590005,48.45310444366215,,2026-01-06
2026-01-01 14:50:00,26154.0,26164.0,26150.9,26155.4,5200130,48.99924010792088,,2026-01-06
2026-01-01 14:55:00,26156.05,26165.8,26155.95,26160.4,3602203,51.75178230852497,,2026-01-06
2026-01-01 15:00:00,26163.2,26166.0,26137.65,26161.8,5762141,52.52441027125276,,2026-01-06
2026-01-01 15:05:00,26162.95,26168.6,26151.05,26151.7,8545379,46.71272162112352,,2026-01-06
2026-01-01 15:10:00,26152.65,26154.15,26135.95,26142.85,8388248,42.29648796789999,,2026-01-06
2026-01-01 15:15:00,26142.55,26146.2,26126.8,26143.6,8892213,42.790105633150375,,2026-01-06
2026-01-01 15:20:00,26144.6,26145.45,26134.65,26138.05,8371714,40.059197476078346,PUT_SUPPORT,2026-01-06
2026-01-01 15:25:00,26139.55,26145.15,26129.1,26140.25,8437130,41.64894026953707,,2026-01-06
2026-01-02 09:15:00,26155.1,26182.65,26118.4,26181.65,29793095,62.04773033842904,,2026-01-06
2026-01-02 09:20:00,26181.75,26202.35,26178.5,26192.45,11524870,65.44175815971006,,2026-01-06
2026-01-02 09:25:00,26192.45,26210.4,26181.15,26208.1,7421498,69.67397920993615,,2026-01-06
2026-01-02 09:30:00,26207.0,26216.2,26196.15,26197.65,7918549,64.034758275196,,2026-01-06
2026-01-02 09:35:00,26199.3,26212.75,26195.9,26211.65,9715285,67.79540676792539,,2026-01-06
2026-01-02 09:40:00,26211.75,26249.65,26210.7,26248.05,6328699,75.08883648267765,,2026-01-06
2026-01-02 09:45:00,26248.35,26257.4,26243.65,26253.8,5075530,76.01298410682047,,2026-01-06
2026-01-02 09:50:00,26253.95,26272.85,26253.75,26268.0,5052237,78.16707689689643,,2026-01-06
2026-01-02 09:55:00,26268.3,26268.75,26253.55,26254.6,5261608,71.62999063359814,,2026-01-06
2026-01-02 10:00:00,26254.1,26261.0,26246.5,26251.95,5873731,70.3765207727472,,2026-01-06
2026-01-02 10:05:00,26252.6,26254.8,26239.45,26239.7,3794416,64.73694900922659,,2026-01-06
2026-01-02 10:10:00,26240.25,26255.85,26238.65,26254.65,4239785,68.09695644765735,,2026-01-06
2026-01-02 10:15:00,26254.9,26266.2,26248.3,26251.4,6242001,66.61104324703919,,2026-01-06
2026-01-02 10:20:00,26251.65,26256.7,26246.65,26252.0,6191341,66.7552684445373,,2026-01-06
2026-01-02 10:25:00,26252.25,26253.85,26243.9,26247.1,5295820,64.3120615945497,,2026-01-06
2026-01-02 10:30:00,26246.8,26247.45,26235.05,26240.25,4017342,60.953505891237484,,2026-01-06
2026-01-02 10:35:00,26239.9,26255.9,26239.0,26253.5,3591135,64.78444024600726,,2026-01-06
2026-01-02 10:40:00,26254.65,26259.95,26248.75,26253.65,6324900,64.82651273031631,,2026-01-06
2026-01-02 10:45:00,26253.7,26264.3,26252.05,26261.45,6080026,67.03218866310492,,2026-01-06
2026-01-02 10:50:00,26261.35,26267.85,26256.15,26258.3,4042559,65.25257965323368,,2026-01-06
2026-01-02 10:55:00,26258.2,26264.2,26252.7,26263.35,3142136,66.77545965988324,,2026-01-06
2026-01-02 11:00:00,26262.7,26265.05,26253.75,26257.0,3628760,63.03445580825917,,2026-01-06
2026-01-02 11:05:00,26256.55,26260.1,26248.05,26252.0,4534793,60.17572310949566,CALL_SUPPORT,2026-01-06
2026-01-02 11:10:00,26251.85,26257.7,26243.3,26254.05,3675214,60.957533305519654,,2026-01-06
2026-01-02 11:15:00,26253.3,26265.5,26252.75,26262.1,3332133,63.95035679989195,,2026-01-06
2026-01-02 11:20:00,26261.55,26269.65,26259.7,26265.6,3128438,65.19942769666324,,2026-01-06
2026-01-02 11:25:00,26265.9,26275.05,26262.7,26273.25,4187939,67.82365194453388,,2026-01-06
2026-01-02 11:30:00,26273.35,26286.45,26270.7,26284.55,3924792,71.26994855813213,,2026-01-06
2026-01-02 11:35:00,26284.8,26286.6,26279.35,26284.0,3441428,70.87206142363652,,2026-01-06
2026-01-02 11:40:00,26283.85,26289.05,26276.7,26285.5,3316702,71.34196964419577,,2026-01-06
2026-01-02 11:45:00,26285.6,26291.2,26280.55,26290.2,2958811,72.82148765403096,,2026-01-06
2026-01-02 11:50:00,26289.85,26298.7,26286.95,26294.6,3123832,74.16611853825452,,2026-01-06
2026-01-02 11:55:00,26294.65,26294.8,26278.1,26280.0,3208019,63.02399013586808,,2026-01-06
2026-01-02 12:00:00,26280.7,26288.5,26275.05,26287.1,4099809,65.72099075133534,,2026-01-06
2026-01-02 12:05:00,26287.75,26291.2,26283.75,26286.35,3405548,65.18015673394227,,2026-01-06
2026-01-02 12:10:00,26286.55,26290.1,26282.95,26287.6,3286893,65.6869750910061,,2026-01-06
2026-01-02 12:15:00,26287.1,26290.95,26277.0,26279.5,3353298,59.6300729787884,CALL_SUPPORT,2026-01-06
