criteria_timestamp,supertrend_signal_time,macd_signal_time,pattern_vwap_signal_time,criteria_type,criteria_breakout_price,symbol,expiry_date,strike_price,option_type,entry_signal,ENTRY_TIME,entry_price,stoploss,EXIT_TIME,exit_price,PNL,reason_for_exit
2024-06-04 09:15:00,2024-06-04 09:15:00,2024-06-04 09:15:00,2024-06-04 09:15:00,SHORT,22851.35,NIFTY,2024-06-06,22850.0,PUT,BUY,2024-06-04 09:15:00,372.6,23043.99526593457,2024-06-04 09:45:00,571.45,198.85000000000002,Stoploss
2024-06-04 09:15:00,2024-06-04 09:15:00,2024-06-04 09:15:00,2024-06-04 09:15:00,SHORT,22851.35,NIFTY,2024-06-06,22850.0,PUT,BUY,2024-06-04 09:15:00,372.6,23043.99526593457,2024-06-04 09:45:00,571.45,198.85000000000002,Stoploss
2024-06-04 10:40:00,2024-06-04 10:40:00,2024-06-04 10:40:00,2024-06-04 10:40:00,SHORT,22553.95,NIFTY,2024-06-06,22550.0,PUT,BUY,2024-06-04 10:40:00,366.05,22787.31241417589,2024-06-04 11:50:00,696.95,330.90000000000003,MACD Crossover
2024-06-04 11:15:00,2024-06-04 10:40:00,2024-06-04 10:40:00,2024-06-04 11:15:00,SHORT,22105.15,NIFTY,2024-06-06,22100.0,PUT,BUY,2024-06-04 11:15:00,505.85,22344.539046579222,2024-06-04 11:50:00,437.6,-68.25,MACD Crossover
2024-06-04 11:25:00,2024-06-04 11:25:00,2024-06-04 11:25:00,2024-06-04 11:25:00,SHORT,22245.1,NIFTY,2024-06-06,22250.0,PUT,BUY,2024-06-04 11:25:00,491.1,22344.539046579222,2024-06-04 11:50:00,517.2,26.100000000000023,MACD Crossover
2024-06-04 10:40:00,2024-06-04 10:40:00,2024-06-04 10:40:00,2024-06-04 10:40:00,SHORT,22553.95,NIFTY,2024-06-06,22550.0,PUT,BUY,2024-06-04 10:40:00,366.05,22787.31241417589,2024-06-04 12:40:00,1161.1,795.05,Stoploss
2024-06-04 11:15:00,2024-06-04 10:40:00,2024-06-04 10:40:00,2024-06-04 11:15:00,SHORT,22105.15,NIFTY,2024-06-06,22100.0,PUT,BUY,2024-06-04 11:15:00,505.85,22344.539046579222,2024-06-04 12:40:00,789.45,283.6,Stoploss
2024-06-04 11:25:00,2024-06-04 11:25:00,2024-06-04 11:25:00,2024-06-04 11:25:00,SHORT,22245.1,NIFTY,2024-06-06,22250.0,PUT,BUY,2024-06-04 11:25:00,491.1,22344.539046579222,2024-06-04 12:40:00,902.05,410.94999999999993,Stoploss
2024-06-04 12:15:00,2024-06-04 12:15:00,2024-06-04 11:55:00,2024-06-04 12:15:00,SHORT,21617.2,NIFTY,2024-06-06,21600.0,PUT,BUY,2024-06-04 12:15:00,407.15,21877.00767596557,2024-06-04 12:40:00,458.75,51.60000000000002,Stoploss
2024-06-04 12:15:00,2024-06-04 12:15:00,2024-06-04 11:55:00,2024-06-04 12:15:00,SHORT,21617.2,NIFTY,2024-06-06,21600.0,PUT,BUY,2024-06-04 12:15:00,407.15,21877.00767596557,2024-06-04 12:40:00,458.75,51.60000000000002,Stoploss
